Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
3.825,45.595434,-122.694759,6.0,17.436145,1
3.85,45.595434,-122.694761,6.0,17.439093,1
3.875,45.595435,-122.694764,6.0,17.453833,1
3.9,45.595435,-122.694766,6.0,17.480367,1
3.925,45.595435,-122.694769,6.0,17.546208,1
3.95,45.595435,-122.694771,6.0,17.652341,1
3.975,45.595435,-122.694774,6.0,17.732923,1
4.0,45.595436,-122.694777,6.0,18.042488,1
4.025,45.595436,-122.69478,6.0,18.079831,1
4.05,45.595436,-122.694782,6.0,18.121105,1
4.075,45.595437,-122.694785,6.0,18.183016,1
4.1,45.595437,-122.694788,6.0,18.245909,1
4.125,45.595437,-122.69479,6.0,18.339267,1
4.15,45.595437,-122.694793,6.0,18.436555,1
4.175,45.595437,-122.694795,6.0,18.519103,1
4.2,45.595438,-122.694798,6.0,18.598702,1
4.225,45.595438,-122.694801,6.0,18.655699,1
4.25,45.595438,-122.694804,6.0,18.712696,1
4.275,45.595438,-122.694806,6.0,18.76478,1
4.3,45.595438,-122.694809,6.0,18.834552,1
4.325,45.595439,-122.694812,6.0,18.904325,1
4.35,45.595439,-122.694815,6.0,18.976063,1
4.375,45.595439,-122.694817,6.0,19.066472000000005,1
4.4,45.595439,-122.69482,6.0,19.147054,1
4.425,45.595439,-122.694823,6.0,19.205034,1
4.45,45.595439,-122.694825,6.0,19.248273,1
4.475,45.595439,-122.694828,6.0,19.290529999999997,1
4.5,45.59544,-122.694832,6.0,19.459863,1
4.525,45.59544,-122.694834,6.0,19.53848,1
4.55,45.59544,-122.694837,6.0,19.6112,1
4.575,45.59544,-122.69484,6.0,19.697679,1
4.6,45.59544,-122.694843,6.0,19.760572000000003,1
4.625,45.59544,-122.694846,6.0,19.79988,1
4.65,45.59544,-122.694848,6.0,19.838206,1
4.675,45.59544,-122.694851,6.0,19.889307,1
4.7,45.59544,-122.694854,6.0,19.959079999999997,1
4.725,45.59544,-122.694857,6.0,20.040644,1
4.75,45.59544,-122.694861,6.0,20.122209,1
4.775,45.59544,-122.694864,6.0,20.183137,1
4.8,45.59544,-122.694867,6.0,20.230308,1
4.825,45.59544,-122.69487,6.0,20.258806,1
4.85,45.59544,-122.694873,6.0,20.316786,1
4.875,45.59544,-122.694876,6.0,20.372801000000003,1
4.9,45.59544,-122.694879,6.0,20.429798,1
4.925,45.595441,-122.694881,6.0,20.493674,1
4.95,45.59544,-122.694884,6.0,20.560498,1
4.975,45.59544,-122.694887,6.0,20.619461,1
5.0,45.59544,-122.694892,6.0,21.323091,1
5.025,45.59544,-122.694895,6.0,21.36633,1
5.05,45.59544,-122.694898,6.0,21.410552,1
5.075,45.59544,-122.694901,6.0,21.452808,1
5.1,45.59544,-122.694904,6.0,21.505875,1
5.125,45.59544,-122.694907,6.0,21.574665,1
5.15,45.59544,-122.69491,6.0,21.641489,1
5.175,45.59544,-122.694913,6.0,21.681779999999996,1
5.2,45.59544,-122.694916,6.0,21.733864,1
5.225,45.59544,-122.694919,6.0,21.774155,1
5.25,45.59544,-122.694924,6.0,21.814446,1
5.275,45.59544,-122.694927,6.0,21.858668,1
5.3,45.59544,-122.69493,6.0,21.910751,1
5.325,45.59544,-122.694933,6.0,21.980524,1
5.35,45.59544,-122.694936,6.0,22.0444,1
5.375,45.595439,-122.69494,6.0,22.097466,1
5.4,45.595439,-122.694943,6.0,22.124,1
5.425,45.595439,-122.694946,6.0,22.154464,1
5.45,45.595439,-122.694949,6.0,22.203599,1
5.475,45.595439,-122.694952,6.0,22.241925,1
5.5,45.595439,-122.694957,6.0,23.038872,1
5.525,45.595439,-122.69496,6.0,23.068353,1
5.55,45.595439,-122.694964,6.0,23.100782,1
5.575,45.595439,-122.694967,6.0,23.13616,1
5.6,45.595438,-122.69497,6.0,23.163676,1
5.625,45.595438,-122.694973,6.0,23.184313,1
5.65,45.595438,-122.694977,6.0,23.225586,1
5.675,45.595438,-122.69498,6.0,23.279636,1
5.7,45.595438,-122.694983,6.0,23.332702,1
5.725,45.595438,-122.694987,6.0,23.379872,1
5.75,45.595438,-122.694991,6.0,23.427042000000004,1
5.775,45.595437,-122.694994,6.0,23.455541,1
5.8,45.595437,-122.694997,6.0,23.480108,1
5.825,45.595437,-122.695001,6.0,23.5204,1
5.85,45.595437,-122.695004,6.0,23.558725,1
5.875,45.595437,-122.695008,6.0,23.60393,1
5.9,45.595436,-122.695011,6.0,23.642256,1
5.925,45.595436,-122.695014,6.0,23.708097,1
5.95,45.595436,-122.695018,6.0,23.733647999999995,1
5.975,45.595436,-122.695021,6.0,23.827988,1
6.0,45.595436,-122.695026,6.0,24.656804,1
6.025,45.595436,-122.69503,6.0,24.688251,1
6.05,45.595435,-122.695033,6.0,24.721663,1
6.075,45.595435,-122.695037,6.0,24.783573,1
6.1,45.595435,-122.69504,6.0,24.83664,1
6.125,45.595435,-122.695044,6.0,24.871035,1
6.15,45.595435,-122.695047,6.0,24.908378,1
6.175,45.595434,-122.695051,6.0,24.989943,1
6.2,45.595434,-122.695054,6.0,25.051853,1
6.225,45.595434,-122.695058,6.0,25.117695,1
6.25,45.595434,-122.695062,6.0,25.183536,1
6.275,45.595434,-122.695066,6.0,25.226775999999997,1
6.3,45.595433,-122.695069,6.0,25.269032,1
6.325,45.595433,-122.695073,6.0,25.313254,1
6.35,45.595433,-122.695076,6.0,25.372216999999996,1
6.375,45.595433,-122.69508,6.0,25.433145,1
6.4,45.595433,-122.695084,6.0,25.494073,1
6.425,45.595432,-122.695087,6.0,25.561880000000002,1
